"","x"
"theta1",0.99999999999665
"theta2",0.999999999999496
"theta3",0.999999999999852
"theta4",0.14999999999964
"theta5",-1.59999999999644
"theta6",0.299999999996338
"theta7",-0.0999999999989877
"betaHat",0.778070038769359
"fHat1",0.127842735406283
"fHat2",0.892644727164516
"fHat3",1.97132385316166
"fHat4",2.87351654466238
"fHat5",3.50674607055325
"fHat6",3.95372148773592
"fHat7",4.18815673999983
"fHat8",3.94192572366047
"fHat9",3.34688820348038
"fHat10",2.84018899151901
"fHat11",2.1078987718908
"fHat12",1.32522542979269
"fHat13",0.0191184961063087
"fHat14",-1.15898386969316
"fHat15",-2.15759920092798
"fHat16",-3.20882639686964
"fHat17",-4.02191643626842
"fHat18",-4.84523107344216
"fHat19",-5.36751957871448
"fHat20",-5.76617893956024
"fHat21",-6.36486819432623
"fHat22",-5.98588446238292
"fHat23",-5.38860391686637
"fHat24",-4.90861403604935
"fHat25",-4.35132839515654
"fHat26",-3.63152787202116
"fHat27",-2.20466659736858
"fHat28",-1.11641106719892
"sdBeta",0.0236258578853942
"sdF1",0.830444863164071
"sdF2",0.823480980865518
"sdF3",0.822087517679785
"sdF4",0.8213249880002
"sdF5",0.820657414029215
"sdF6",0.82019458320981
"sdF7",0.819945766583019
"sdF8",0.819839720156972
"sdF9",0.819803355565841
"sdF10",0.819793224704853
"sdF11",0.819790915493672
"sdF12",0.819790482285416
"sdF13",0.819790415005897
"sdF14",0.819790406297798
"sdF15",0.819790405350562
"sdF16",0.819790405263017
"sdF17",0.819790405256046
"sdF18",0.819790405255558
"sdF19",0.819790405255569
"sdF20",0.819790405255379
"sdF21",0.819790405277343
"sdF22",0.819790405210061
"sdF23",0.819790415106341
"sdF24",0.81979041521301
"sdF25",0.819794015142949
"sdF26",0.819810760910905
"sdF27",0.820711934609556
"sdF28",0.825909851248115
"biasBeta",1.60555162914688e-14
"biasF1",0.00449874598239275
"biasF2",-0.00238287402701845
"biasF3",-0.000544299023265069
"biasF4",-0.000310214560477119
"biasF5",-0.00041243997754125
"biasF6",-0.000433976184991733
"biasF7",-0.000429951393715509
"biasF8",-0.000413993846876175
"biasF9",-0.000381199203979957
"biasF10",-0.000330460066498284
"biasF11",-0.000263475986411063
"biasF12",-0.000183346338227329
"biasF13",-9.40305417871448e-05
"biasF14",-8.19844192534447e-12
"biasF15",9.40304963040137e-05
"biasF16",0.000183345901781498
"biasF17",0.000263467571591895
"biasF18",0.000330378061996532
"biasF19",0.000380722023545561
"biasF20",0.000411970206774581
"biasF21",0.000422564917466645
"biasF22",0.000412090277280362
"biasF23",0.000380721390347678
"biasF24",0.000327376932549431
"biasF25",0.000266365093674593
"biasF26",0.000258358307998037
"biasF27",-5.33157216819485e-05
"biasF28",-0.00180287274572011
"capConv",1
