"","x"
"theta1",0.494566568588371
"theta2",1.59510860789374
"theta3",1.11609905438225
"theta4",0.0297621205369953
"theta5",-5.15855608350007
"theta6",1.82940942691235
"theta7",-0.285346978365354
"betaHat",0.736652164188827
"fHat1",1.40257903450546
"fHat2",2.36042289173362
"fHat3",2.93609166866207
"fHat4",3.80963620186597
"fHat5",4.69251467141305
"fHat6",5.21285500344881
"fHat7",5.31840992577174
"fHat8",5.15346833674468
"fHat9",4.81466966680073
"fHat10",4.24707120806788
"fHat11",3.26157645300447
"fHat12",2.03840404415939
"fHat13",1.04412594316817
"fHat14",0.301774719120637
"fHat15",-0.659687795790017
"fHat16",-1.78020617306755
"fHat17",-2.84910200794182
"fHat18",-3.75868931080412
"fHat19",-4.35306554008535
"fHat20",-4.84917063364233
"fHat21",-4.93558821820426
"fHat22",-4.52860624766079
"fHat23",-4.16551646352134
"fHat24",-3.65802345263675
"fHat25",-2.9537556028325
"fHat26",-2.06359170030671
"fHat27",-0.859644616602942
"fHat28",0.386468583676926
"sdBeta",0.0341929233527028
"sdF1",1.0746165086916
"sdF2",1.0701167967959
"sdF3",1.06956849036224
"sdF4",1.06942822338574
"sdF5",1.06911994670412
"sdF6",1.06889246573903
"sdF7",1.06880793182398
"sdF8",1.06878991928806
"sdF9",1.06878755118451
"sdF10",1.06878734109946
"sdF11",1.06878732657751
"sdF12",1.06878732568762
"sdF13",1.06878732563756
"sdF14",1.06878732563492
"sdF15",1.06878732563478
"sdF16",1.06878732563478
"sdF17",1.06878732563477
"sdF18",1.06878732563478
"sdF19",1.06878732563483
"sdF20",1.06878732563486
"sdF21",1.06878732565915
"sdF22",1.06878732573368
"sdF23",1.0687873347903
"sdF24",1.06878739122926
"sdF25",1.06879032365381
"sdF26",1.06881759549286
"sdF27",1.06954408154072
"sdF28",1.07423005174067
"biasBeta",-1.5185335627832e-14
"biasF1",0.00420380500100445
"biasF2",-0.00240120766228767
"biasF3",-0.000498470954118632
"biasF4",-0.000302838054650187
"biasF5",-0.000435693998293657
"biasF6",-0.00046951074645267
"biasF7",-0.000472573267530127
"biasF8",-0.000459580887810299
"biasF9",-0.000424899135828299
"biasF10",-0.000368741093146496
"biasF11",-0.000294053692174598
"biasF12",-0.000204629743882259
"biasF13",-0.000104946297158667
"biasF14",-1.83108805895671e-11
"biasF15",0.000104946315910959
"biasF16",0.000204630174161682
"biasF17",0.000294053038511197
"biasF18",0.00036873113961565
"biasF19",0.000424918926767909
"biasF20",0.000459793018960125
"biasF21",0.000471628358300127
"biasF22",0.000459961169383322
"biasF23",0.000424751670358894
"biasF24",0.000364957471029895
"biasF25",0.000299783986530439
"biasF26",0.000292056547458522
"biasF27",-7.21121843425404e-05
"biasF28",-0.0020052081936677
"capConv",2
