"","x"
"theta1",0.531710190760048
"theta2",1.07739550391587
"theta3",1.04598303087692
"theta4",0.338749208933675
"theta5",-2.64312008686839
"theta6",1.90872398004401
"theta7",-0.461559093110152
"betaHat",0.773918295027557
"fHat1",0.511720571450081
"fHat2",1.33403062547107
"fHat3",2.19662652084902
"fHat4",3.05094639483639
"fHat5",3.645843028415
"fHat6",3.96934531298491
"fHat7",4.16131579640346
"fHat8",3.79914004189597
"fHat9",3.41019750257831
"fHat10",3.15363214653589
"fHat11",2.41613160651698
"fHat12",1.6406038958936
"fHat13",0.425143487132715
"fHat14",-0.797291748003346
"fHat15",-1.94340808525813
"fHat16",-2.84554935626133
"fHat17",-3.85911150813581
"fHat18",-4.71144278521163
"fHat19",-5.21292911761548
"fHat20",-5.67446683506301
"fHat21",-5.84865441648569
"fHat22",-5.6010113522502
"fHat23",-5.21850698986401
"fHat24",-4.66947484539033
"fHat25",-3.75796881278678
"fHat26",-2.97690686574083
"fHat27",-1.90853868270954
"fHat28",-0.963376312891093
"sdBeta",0.0266394292686203
"sdF1",0.933540347785757
"sdF2",0.92869098052449
"sdF3",0.926324471123533
"sdF4",0.923692212380951
"sdF5",0.922627999418711
"sdF6",0.922451125954447
"sdF7",0.92243725842173
"sdF8",0.922436491036505
"sdF9",0.922436446915778
"sdF10",0.922436444673612
"sdF11",0.922436444561864
"sdF12",0.922436444556616
"sdF13",0.922436444556372
"sdF14",0.922436444556365
"sdF15",0.922436444556366
"sdF16",0.922436444556362
"sdF17",0.922436444556362
"sdF18",0.922436444556361
"sdF19",0.922436444556412
"sdF20",0.922436444556245
"sdF21",0.922436444579839
"sdF22",0.922436444551079
"sdF23",0.922436454234485
"sdF24",0.922436474276204
"sdF25",0.922439789082003
"sdF26",0.922460700875304
"sdF27",0.923279532028135
"sdF28",0.928217273158599
"biasBeta",-3.59599502952612e-14
"biasF1",0.0046395954049398
"biasF2",-0.00264018331870123
"biasF3",-0.000747264729531065
"biasF4",-0.000353545352381995
"biasF5",-0.000403464854290998
"biasF6",-0.000433514548138662
"biasF7",-0.000441937197772788
"biasF8",-0.000430824651439447
"biasF9",-0.000398232353818771
"biasF10",-0.000345571855735971
"biasF11",-0.000275581233945027
"biasF12",-0.000191775831350965
"biasF13",-9.83539358590871e-05
"biasF14",-4.38837854943586e-12
"biasF15",9.83539207235415e-05
"biasF16",0.000191775954397032
"biasF17",0.000275581542145853
"biasF18",0.000345568546838773
"biasF19",0.000398227113081073
"biasF20",0.000430911388175192
"biasF21",0.000441996832987582
"biasF22",0.00043105040260763
"biasF23",0.000398168334245802
"biasF24",0.000342261270606777
"biasF25",0.000279529965062024
"biasF26",0.000271683592246302
"biasF27",-6.05377308649097e-05
"biasF28",-0.00188314853718448
"capConv",1
