"","x"
"theta1",0.886168632847575
"theta2",1.03243198142266
"theta3",0.993479479657255
"theta4",0.179586225875471
"theta5",-0.577751207270642
"theta6",0.432917358590315
"theta7",-0.224990103703723
"betaHat",0.981700525360971
"fHat1",1.70980165881637
"fHat2",2.82802912572083
"fHat3",4.07527519362317
"fHat4",4.53950613762495
"fHat5",5.05927389416535
"fHat6",5.39124504129411
"fHat7",5.42426555373559
"fHat8",5.50405911919481
"fHat9",5.15123435977838
"fHat10",4.38950247987164
"fHat11",3.4456898120194
"fHat12",2.45687672137279
"fHat13",1.68961328331759
"fHat14",0.478425769361316
"fHat15",-0.611752903435629
"fHat16",-1.69850042276339
"fHat17",-2.73117790693746
"fHat18",-3.31682201818052
"fHat19",-3.80631333625296
"fHat20",-4.19786726135032
"fHat21",-4.67675616760131
"fHat22",-4.4797045700698
"fHat23",-4.07813159704606
"fHat24",-3.27364477228963
"fHat25",-2.59889026194699
"fHat26",-1.54826776330324
"fHat27",-0.33987183290111
"fHat28",0.751731990277349
"sdBeta",0.0249887134843909
"sdF1",0.907525400498037
"sdF2",0.896599913937244
"sdF3",0.893425019511148
"sdF4",0.891448478814259
"sdF5",0.890648055909242
"sdF6",0.890439278057972
"sdF7",0.890404008900639
"sdF8",0.890399973522842
"sdF9",0.890399640636535
"sdF10",0.890399618933546
"sdF11",0.89039961770155
"sdF12",0.890399617637193
"sdF13",0.890399617634036
"sdF14",0.890399617633888
"sdF15",0.890399617633879
"sdF16",0.890399617633882
"sdF17",0.890399617633882
"sdF18",0.890399617633878
"sdF19",0.890399617633916
"sdF20",0.890399617633749
"sdF21",0.890399617653335
"sdF22",0.890399617589162
"sdF23",0.890399626551286
"sdF24",0.890399624314872
"sdF25",0.8904029179359
"sdF26",0.890417515286587
"sdF27",0.891244480394587
"sdF28",0.895987534552773
"biasBeta",-8.2121809352742e-15
"biasF1",0.00584869216727379
"biasF2",-0.00249300008689243
"biasF3",-0.000700029843716608
"biasF4",-0.000301900157257062
"biasF5",-0.000379726794620172
"biasF6",-0.00041357621034678
"biasF7",-0.000420041373875753
"biasF8",-0.000409155742216283
"biasF9",-0.000378238236779051
"biasF10",-0.000328229096709987
"biasF11",-0.000261749636085766
"biasF12",-0.000182150300949015
"biasF13",-9.34174311910188e-05
"biasF14",-6.80221851068197e-12
"biasF15",9.34174195913184e-05
"biasF16",0.000182150491679592
"biasF17",0.000261749769834299
"biasF18",0.00032822400027005
"biasF19",0.000378239738758133
"biasF20",0.000409284279212767
"biasF21",0.00041980946856543
"biasF22",0.000409401695562465
"biasF23",0.000378246530920355
"biasF24",0.000325266163656107
"biasF25",0.000264505915184045
"biasF26",0.000256471483982113
"biasF27",-5.23159913511026e-05
"biasF28",-0.00179147452318437
"capConv",1
