"","x"
"theta1",0.512961648279473
"theta2",0.959413666494585
"theta3",0.962760991983921
"theta4",0.108109772260077
"theta5",-0.275444866266376
"theta6",0.448719790018878
"theta7",-0.297380235002813
"betaHat",1.00241674572927
"fHat1",1.58887927122677
"fHat2",2.49879271961358
"fHat3",3.30263463261448
"fHat4",4.19620581856286
"fHat5",4.82776646145839
"fHat6",5.1360814537669
"fHat7",5.13325010556649
"fHat8",4.9063386742513
"fHat9",4.6291217719109
"fHat10",4.22479137523372
"fHat11",3.31848898368614
"fHat12",2.24721066911071
"fHat13",1.12221195253942
"fHat14",0.221332015677383
"fHat15",-0.715687218613589
"fHat16",-1.98530078415784
"fHat17",-3.05606466099761
"fHat18",-3.47102988645987
"fHat19",-4.11855442391559
"fHat20",-4.71502739292529
"fHat21",-4.881512068265
"fHat22",-4.77075841250304
"fHat23",-4.50504779641407
"fHat24",-3.92373916083742
"fHat25",-2.92599745970664
"fHat26",-1.88829917672386
"fHat27",-0.97756682863934
"fHat28",-0.00740866062372092
"sdBeta",0.0239499091931384
"sdF1",0.808264605143988
"sdF2",0.792874763541512
"sdF3",0.788642685024752
"sdF4",0.786674021674966
"sdF5",0.786170667017759
"sdF6",0.786092672976377
"sdF7",0.786085147038112
"sdF8",0.786084633466212
"sdF9",0.786084604148358
"sdF10",0.786084602614946
"sdF11",0.786084602540525
"sdF12",0.786084602537098
"sdF13",0.786084602536945
"sdF14",0.786084602536938
"sdF15",0.786084602536939
"sdF16",0.786084602536939
"sdF17",0.78608460253694
"sdF18",0.78608460253694
"sdF19",0.786084602536971
"sdF20",0.786084602536822
"sdF21",0.786084602555571
"sdF22",0.786084602478217
"sdF23",0.786084611774927
"sdF24",0.786084598877261
"sdF25",0.786088204390851
"sdF26",0.786100607144432
"sdF27",0.787021396009457
"sdF28",0.792145965676332
"biasBeta",4.32501799131624e-15
"biasF1",0.00644383398865758
"biasF2",-0.00247910653901511
"biasF3",-0.000670797952599202
"biasF4",-0.000258391803264424
"biasF5",-0.000358672325046765
"biasF6",-0.000399769680620457
"biasF7",-0.000407031341740451
"biasF8",-0.000396509686082645
"biasF9",-0.000366543175984328
"biasF10",-0.000318080716377386
"biasF11",-0.000253656985704689
"biasF12",-0.000176518670051848
"biasF13",-9.0529189084386e-05
"biasF14",-5.80773623637398e-12
"biasF15",9.05291783513534e-05
"biasF16",0.000176518839194562
"biasF17",0.000253657097492116
"biasF18",0.000318076080515345
"biasF19",0.000366545525916584
"biasF20",0.000396630687198307
"biasF21",0.000406828573494791
"biasF22",0.000396735754999752
"biasF23",0.00036658460017254
"biasF24",0.000315321475211267
"biasF25",0.000255772889444839
"biasF26",0.000247592827608133
"biasF27",-4.7689380991249e-05
"biasF28",-0.00173772644219214
"capConv",2
