"","x"
"theta1",0.770823493000598
"theta2",1.02517813307253
"theta3",1.02681066876153
"theta4",0.162193096691939
"theta5",-1.05609804118524
"theta6",0.990522703846368
"theta7",-0.370067700750432
"betaHat",0.991354867522767
"fHat1",1.27340627524867
"fHat2",2.32706359231905
"fHat3",3.23176637469653
"fHat4",4.16357879941686
"fHat5",4.72661680650444
"fHat6",4.92661206957791
"fHat7",5.26669017928763
"fHat8",4.98046508688503
"fHat9",4.69444871237501
"fHat10",4.03720326587623
"fHat11",3.41688857193805
"fHat12",2.42122073286389
"fHat13",1.36095974078805
"fHat14",0.447454932805158
"fHat15",-0.783494381806086
"fHat16",-2.13504960119527
"fHat17",-3.06307821941813
"fHat18",-3.74848403022567
"fHat19",-4.38846141342899
"fHat20",-4.48840433391435
"fHat21",-4.73952722372204
"fHat22",-4.72449007301979
"fHat23",-4.28771763248961
"fHat24",-3.84536940640862
"fHat25",-3.08404586818907
"fHat26",-2.06417574055764
"fHat27",-1.22474761853486
"fHat28",0.0407863789366836
"sdBeta",0.0259486002808252
"sdF1",0.923710988673917
"sdF2",0.913458581102219
"sdF3",0.9100339707201
"sdF4",0.908025015337713
"sdF5",0.907461717687694
"sdF6",0.907377686106494
"sdF7",0.907370505530851
"sdF8",0.907370059967787
"sdF9",0.907370034583063
"sdF10",0.907370033254608
"sdF11",0.907370033189328
"sdF12",0.907370033186238
"sdF13",0.907370033186093
"sdF14",0.907370033186085
"sdF15",0.907370033186088
"sdF16",0.907370033186088
"sdF17",0.907370033186089
"sdF18",0.907370033186089
"sdF19",0.907370033186136
"sdF20",0.907370033185953
"sdF21",0.90737003320828
"sdF22",0.907370033162199
"sdF23",0.907370042659731
"sdF24",0.907370053677869
"sdF25",0.907373380376665
"sdF26",0.907391987611073
"sdF27",0.908217128003249
"sdF28",0.913102655793228
"biasBeta",-1.23052609768415e-14
"biasF1",0.00581782704892884
"biasF2",-0.0026089219300822
"biasF3",-0.000720399392923718
"biasF4",-0.000289305414728963
"biasF5",-0.000382622731655416
"biasF6",-0.000426016557968624
"biasF7",-0.000434169225859544
"biasF8",-0.000422893357506338
"biasF9",-0.000390921684208734
"biasF10",-0.00033923994644236
"biasF11",-0.000270530806489359
"biasF12",-0.000188260900738375
"biasF13",-9.65512991536258e-05
"biasF14",-7.71928354570406e-12
"biasF15",9.65512971173102e-05
"biasF16",0.000188261100181358
"biasF17",0.000270530702432048
"biasF18",0.000339234974757352
"biasF19",0.000390928488555507
"biasF20",0.000423013993947827
"biasF21",0.000433894729848242
"biasF22",0.000423145070279081
"biasF23",0.000390895190683221
"biasF24",0.000336055466905877
"biasF25",0.000274029507797056
"biasF26",0.000266123774571636
"biasF27",-5.74902701677774e-05
"biasF28",-0.00184970023790315
"capConv",1
