"","x"
"theta1",0.999999999996952
"theta2",0.999999999999566
"theta3",0.999999999999887
"theta4",0.19999999999954
"theta5",-0.439999999991659
"theta6",0.299999999990898
"theta7",-0.199999999997559
"betaHat",1.001274012651
"fHat1",0.857846058764196
"fHat2",2.56996752078815
"fHat3",3.69249181497415
"fHat4",4.26305978514465
"fHat5",4.81972487539345
"fHat6",5.17624998462979
"fHat7",5.040632309216
"fHat8",5.28751803887066
"fHat9",4.80615350919227
"fHat10",4.01089467678475
"fHat11",3.12715964385936
"fHat12",2.0446092627855
"fHat13",1.23630982766489
"fHat14",0.319870576249311
"fHat15",-0.726508693564853
"fHat16",-2.18244890097386
"fHat17",-3.11625839085426
"fHat18",-3.78560525970077
"fHat19",-4.61124731235344
"fHat20",-4.77661728773992
"fHat21",-5.10202167525113
"fHat22",-4.9582981824622
"fHat23",-4.45337739615195
"fHat24",-3.59922378080849
"fHat25",-2.85329447221089
"fHat26",-1.91297508675242
"fHat27",-1.05811140352215
"fHat28",0.0768615079480099
"sdBeta",0.0253741751426506
"sdF1",0.897534728416988
"sdF2",0.886044431414329
"sdF3",0.882808177837931
"sdF4",0.880862482837764
"sdF5",0.880057251601635
"sdF6",0.879832227012581
"sdF7",0.879789942101865
"sdF8",0.879784414804997
"sdF9",0.879783890694611
"sdF10",0.879783852320438
"sdF11",0.879783849969947
"sdF12",0.879783849840826
"sdF13",0.879783849834228
"sdF14",0.87978384983391
"sdF15",0.879783849833894
"sdF16",0.879783849833892
"sdF17",0.87978384983389
"sdF18",0.879783849833889
"sdF19",0.879783849833929
"sdF20",0.879783849833752
"sdF21",0.879783849854219
"sdF22",0.879783849791528
"sdF23",0.87978385901297
"sdF24",0.879783859112365
"sdF25",0.879787213560031
"sdF26",0.879802817445388
"sdF27",0.880642602586365
"sdF28",0.885488789465008
"biasBeta",-1.11698844618147e-14
"biasF1",0.00592415926775252
"biasF2",-0.00244152769992887
"biasF3",-0.000692098709491877
"biasF4",-0.000307514556305725
"biasF5",-0.000384206024390293
"biasF6",-0.000416794485052475
"biasF7",-0.000422880899526003
"biasF8",-0.000411844465013425
"biasF9",-0.000380719653626856
"biasF10",-0.00033038328189286
"biasF11",-0.000263467480439525
"biasF12",-0.0001833457037861
"biasF13",-9.40305059235064e-05
"biasF14",-7.18709119995609e-12
"biasF15",9.4030495811942e-05
"biasF16",0.000183345901717549
"biasF17",0.000263467571607404
"biasF18",0.000330378062002069
"biasF19",0.000380722023549288
"biasF20",0.000411970206778793
"biasF21",0.000422564917470912
"biasF22",0.000412090277284588
"biasF23",0.000380721390351939
"biasF24",0.000327376932553705
"biasF25",0.000266365093678833
"biasF26",0.000258358308002325
"biasF27",-5.33157216777089e-05
"biasF28",-0.00180287274571592
"capConv",1
