"","x"
"theta1",0.527569738318151
"theta2",1.18644212804159
"theta3",0.999540081376267
"theta4",0.142771448147331
"theta5",-1.6889680839838
"theta6",2.0009287372413
"theta7",-0.626494437586722
"betaHat",0.977569103060728
"fHat1",2.34906788758135
"fHat2",3.09941528982457
"fHat3",3.81592360654996
"fHat4",4.71654545966416
"fHat5",5.25861438186696
"fHat6",5.55197476218936
"fHat7",5.69653582419155
"fHat8",5.57652326719697
"fHat9",5.26211831937609
"fHat10",4.92458343418992
"fHat11",3.83305070934641
"fHat12",2.8302482841158
"fHat13",1.84918704714352
"fHat14",0.683630252521269
"fHat15",-0.421508235155795
"fHat16",-1.48070143198753
"fHat17",-2.48399836082676
"fHat18",-3.14271822201401
"fHat19",-3.87155225015509
"fHat20",-4.26148075633054
"fHat21",-4.37773413467639
"fHat22",-4.25048163507703
"fHat23",-3.91443651202835
"fHat24",-3.43129122457393
"fHat25",-2.43717947097235
"fHat26",-1.15928674143683
"fHat27",-0.105309075321838
"fHat28",0.697545202769547
"sdBeta",0.0257210059340777
"sdF1",0.879203222620031
"sdF2",0.868780662094386
"sdF3",0.863869918239269
"sdF4",0.861183658348912
"sdF5",0.860740742457061
"sdF6",0.860707529103889
"sdF7",0.860705765071451
"sdF8",0.860705660834271
"sdF9",0.860705655893797
"sdF10",0.860705655657156
"sdF11",0.860705655646172
"sdF12",0.860705655645702
"sdF13",0.860705655645679
"sdF14",0.860705655645682
"sdF15",0.860705655645682
"sdF16",0.860705655645681
"sdF17",0.860705655645681
"sdF18",0.860705655645682
"sdF19",0.86070565564572
"sdF20",0.860705655645539
"sdF21",0.860705655666416
"sdF22",0.860705655602153
"sdF23",0.860705665017237
"sdF24",0.860705664943661
"sdF25",0.860709092256598
"sdF26",0.86072498158549
"sdF27",0.861583158133769
"sdF28",0.866532600369289
"biasBeta",-2.64653750303712e-14
"biasF1",0.00595266092579014
"biasF2",-0.00285358383529286
"biasF3",-0.000791458080967346
"biasF4",-0.00026585420035017
"biasF5",-0.000366220733224829
"biasF6",-0.000414926181955946
"biasF7",-0.000422812270561269
"biasF8",-0.000411647674096564
"biasF9",-0.000380534858945611
"biasF10",-0.000330231708316787
"biasF11",-0.000263346666215997
"biasF12",-0.000183261359554432
"biasF13",-9.39872507538589e-05
"biasF14",-8.6957455125436e-12
"biasF15",9.39872526652188e-05
"biasF16",0.00018326158473906
"biasF17",0.000263346408186531
"biasF18",0.000330226127401891
"biasF19",0.000380546938100308
"biasF20",0.000411780757598151
"biasF21",0.000422370564138116
"biasF22",0.00041190064056814
"biasF23",0.000380546835267608
"biasF24",0.000327228052985629
"biasF25",0.000266233895942151
"biasF26",0.000258225198905185
"biasF27",-5.3245005908524e-05
"biasF28",-0.00180206890532203
"capConv",1
