"","x"
"theta1",0.497916496486741
"theta2",0.449747577122776
"theta3",1.0168893616834
"theta4",0.647602947139562
"theta5",0.906776493649255
"theta6",-0.408823549544013
"theta7",-0.255312085351463
"betaHat",1.00629734780583
"fHat1",0.882647501877496
"fHat2",2.06421103515294
"fHat3",2.81185331692483
"fHat4",3.47183569513672
"fHat5",4.10384309855299
"fHat6",4.43416570255802
"fHat7",4.56942894729236
"fHat8",4.43364798533132
"fHat9",4.22940206275536
"fHat10",3.48404422122174
"fHat11",2.61820758832316
"fHat12",1.76165737857797
"fHat13",0.856270630564772
"fHat14",-0.400644433921613
"fHat15",-1.62724729509634
"fHat16",-2.46127038972378
"fHat17",-3.29684921734472
"fHat18",-4.19748043362958
"fHat19",-4.9478001923629
"fHat20",-5.22148528437437
"fHat21",-5.28804116767047
"fHat22",-5.24880287639137
"fHat23",-4.91460876113955
"fHat24",-4.47938841323651
"fHat25",-3.64750820299202
"fHat26",-2.58777131104817
"fHat27",-1.4519625095046
"fHat28",-0.128519601115801
"sdBeta",0.0167817636894427
"sdF1",0.610670528849221
"sdF2",0.578943473480469
"sdF3",0.570361420551845
"sdF4",0.568471669938914
"sdF5",0.568217592822261
"sdF6",0.568197394595786
"sdF7",0.568196275548916
"sdF8",0.568196222235149
"sdF9",0.568196219545397
"sdF10",0.568196219413648
"sdF11",0.568196219407293
"sdF12",0.568196219407003
"sdF13",0.56819621940699
"sdF14",0.568196219406989
"sdF15",0.568196219406988
"sdF16",0.568196219406989
"sdF17",0.568196219406989
"sdF18",0.568196219406988
"sdF19",0.568196219407057
"sdF20",0.568196219406769
"sdF21",0.568196219440986
"sdF22",0.568196219356902
"sdF23",0.568196234209603
"sdF24",0.568196244891964
"sdF25",0.568201516493511
"sdF26",0.568229125195121
"sdF27",0.569539585204858
"sdF28",0.577189440886988
"biasBeta",8.17661910401668e-15
"biasF1",0.00737300799433472
"biasF2",-0.00115347607869814
"biasF3",-0.000193735940988867
"biasF4",-0.000224142834560469
"biasF5",-0.000379531675836015
"biasF6",-0.000421410087858103
"biasF7",-0.000429661818709272
"biasF8",-0.000418812612253912
"biasF9",-0.000387155347001331
"biasF10",-0.000335961718999495
"biasF11",-0.000267916691551618
"biasF12",-0.000186442073986513
"biasF13",-9.56184906162859e-05
"biasF14",-5.48683667944694e-12
"biasF15",9.5618474492281e-05
"biasF16",0.000186442229984402
"biasF17",0.000267916989430819
"biasF18",0.00033595747235696
"biasF19",0.000387151586196625
"biasF20",0.000418927240377856
"biasF21",0.000429702100039033
"biasF22",0.000419054228614244
"biasF23",0.000387130777535476
"biasF24",0.000332844029636941
"biasF25",0.000271189549089012
"biasF26",0.000263248826693013
"biasF27",-5.59335606972189e-05
"biasF28",-0.00183237897554247
"capConv",2
