"","x"
"theta1",0.504122575251689
"theta2",1.11440668890103
"theta3",0.96485477613658
"theta4",0.312963836778975
"theta5",-1.70066194796965
"theta6",1.35207742702024
"theta7",-0.371171650576233
"betaHat",0.991934278186073
"fHat1",1.34396792070872
"fHat2",2.33221909619934
"fHat3",3.18594300693516
"fHat4",4.23148298794563
"fHat5",4.86831830197915
"fHat6",5.05953175821487
"fHat7",5.1253032279819
"fHat8",5.03632067421457
"fHat9",4.93800055580349
"fHat10",4.3149494679761
"fHat11",3.36919751678939
"fHat12",2.40706935780109
"fHat13",1.33723672142399
"fHat14",0.205103178282293
"fHat15",-0.887188147924977
"fHat16",-2.08471019776519
"fHat17",-2.92065084207814
"fHat18",-3.58956144703633
"fHat19",-4.20752719417835
"fHat20",-4.62498619652564
"fHat21",-4.73071133568348
"fHat22",-4.56496389101208
"fHat23",-4.33173832003295
"fHat24",-3.84531370626387
"fHat25",-2.89573003553327
"fHat26",-1.97574297336567
"fHat27",-0.933959679627225
"fHat28",0.470655593749022
"sdBeta",0.0255993727021433
"sdF1",0.840104392344904
"sdF2",0.833143885635944
"sdF3",0.82976749290201
"sdF4",0.826582311130758
"sdF5",0.825269680339921
"sdF6",0.825013169119948
"sdF7",0.824987122571835
"sdF8",0.824985478384115
"sdF9",0.824985390033393
"sdF10",0.82498538548265
"sdF11",0.824985385265083
"sdF12",0.824985385255133
"sdF13",0.824985385254694
"sdF14",0.824985385254677
"sdF15",0.824985385254675
"sdF16",0.824985385254676
"sdF17",0.824985385254674
"sdF18",0.824985385254672
"sdF19",0.824985385254704
"sdF20",0.824985385254562
"sdF21",0.82498538527265
"sdF22",0.824985385198919
"sdF23",0.824985394115344
"sdF24",0.82498538239806
"sdF25",0.824988826713805
"sdF26",0.825000900682972
"sdF27",0.82587938386342
"sdF28",0.830779989424058
"biasBeta",1.84513862522273e-14
"biasF1",0.00493221691816123
"biasF2",-0.00254261794724817
"biasF3",-0.000727221859255611
"biasF4",-0.00033864669817419
"biasF5",-0.000376933172400395
"biasF6",-0.000400523026490129
"biasF7",-0.000407615616723526
"biasF8",-0.000397409956819229
"biasF9",-0.000367350684814693
"biasF10",-0.00031877056786242
"biasF11",-0.000254208276087881
"biasF12",-0.000176902608507792
"biasF13",-9.07260613185398e-05
"biasF14",-2.40082953517629e-12
"biasF15",9.07260426374901e-05
"biasF16",0.000176902695632045
"biasF17",0.000254208698513746
"biasF18",0.000318767768295765
"biasF19",0.000367342610574042
"biasF20",0.000397493164048274
"biasF21",0.000407713348310988
"biasF22",0.000397599064352855
"biasF23",0.000367379624874015
"biasF24",0.000315999355852491
"biasF25",0.000256366789020489
"biasF26",0.000248197436937228
"biasF27",-4.80003356691169e-05
"biasF28",-0.0017413925950103
"capConv",2
