"","x"
"theta1",0.946614033341255
"theta2",0.984252473461366
"theta3",1.00075159639777
"theta4",0.222364008159408
"theta5",-0.597465217121457
"theta6",0.469065587270678
"theta7",-0.237934935161964
"betaHat",0.973499683233722
"fHat1",2.20556236232403
"fHat2",2.94933744330206
"fHat3",3.89253102203849
"fHat4",4.57111953138069
"fHat5",5.16194685644425
"fHat6",5.53674253068213
"fHat7",5.68533012590554
"fHat8",5.97852224070311
"fHat9",5.43573891193137
"fHat10",4.60545648528181
"fHat11",3.60385077024463
"fHat12",3.12586889448247
"fHat13",2.02520595532881
"fHat14",0.49519660071757
"fHat15",-0.479948374867071
"fHat16",-1.25610556129606
"fHat17",-2.37774216211473
"fHat18",-3.05843890965194
"fHat19",-3.68449653784073
"fHat20",-3.94819056669613
"fHat21",-4.14759385675448
"fHat22",-3.97526852467256
"fHat23",-3.73470591646888
"fHat24",-3.06520702813074
"fHat25",-2.19629640917556
"fHat26",-1.31233155808202
"fHat27",-0.134252386303267
"fHat28",0.871515232282739
"sdBeta",0.0285373192226321
"sdF1",0.994919511873653
"sdF2",0.984953764918248
"sdF3",0.981917778038178
"sdF4",0.980050077352819
"sdF5",0.979329502461438
"sdF6",0.979154785117277
"sdF7",0.979127860308239
"sdF8",0.979125081535022
"sdF9",0.979124873291086
"sdF10",0.979124860589388
"sdF11",0.979124859893939
"sdF12",0.979124859858447
"sdF13",0.979124859856732
"sdF14",0.979124859856652
"sdF15",0.979124859856647
"sdF16",0.979124859856649
"sdF17",0.979124859856648
"sdF18",0.979124859856648
"sdF19",0.979124859856684
"sdF20",0.979124859856525
"sdF21",0.97912485987498
"sdF22",0.97912485981891
"sdF23",0.979124868120168
"sdF24",0.979124868462519
"sdF25",0.979127884701311
"sdF26",0.979141992420241
"sdF27",0.979896938776815
"sdF28",0.984259357633387
"biasBeta",-2.87166124213201e-14
"biasF1",0.00583876909445807
"biasF2",-0.00244129773004142
"biasF3",-0.000691102442457348
"biasF4",-0.000308458800141069
"biasF5",-0.000383059700751781
"biasF6",-0.000416282798118651
"biasF7",-0.000423067113238404
"biasF8",-0.000412158159048368
"biasF9",-0.000381007600951964
"biasF10",-0.000330631154374941
"biasF11",-0.000263665422122451
"biasF12",-0.00018348351226749
"biasF13",-9.4101174648531e-05
"biasF14",-6.42343817025548e-12
"biasF15",9.41011628616747e-05
"biasF16",0.000183483692126625
"biasF17",0.000263665576189155
"biasF18",0.000330626352639175
"biasF19",0.000381008147160383
"biasF20",0.000412279803514867
"biasF21",0.00042288252871836
"biasF22",0.000412400180594068
"biasF23",0.000381006645078223
"biasF24",0.000327620230240903
"biasF25",0.000266579516645722
"biasF26",0.00025857584182884
"biasF27",-5.34313504391773e-05
"biasF28",-0.00180418633722055
"capConv",1
