"","x"
"theta1",0.762079135233495
"theta2",1.0874050932208
"theta3",1.00316669383303
"theta4",0.150562884181935
"theta5",0.129725352295231
"theta6",-0.10907768300581
"theta7",-0.132446974665274
"betaHat",1.03329649343161
"fHat1",0.102777755712598
"fHat2",1.53373439343578
"fHat3",2.32755288053497
"fHat4",3.03293210196772
"fHat5",3.6135588287773
"fHat6",4.01617744679985
"fHat7",4.06024699238676
"fHat8",4.11274724187932
"fHat9",3.99791937973948
"fHat10",3.16914308207064
"fHat11",2.3968747160594
"fHat12",1.38030811774278
"fHat13",0.316551024039672
"fHat14",-0.798984173630352
"fHat15",-1.8444151851959
"fHat16",-2.93577221229205
"fHat17",-3.53030813690569
"fHat18",-4.12073073112272
"fHat19",-5.0972754774334
"fHat20",-5.62247200577723
"fHat21",-5.63333312311444
"fHat22",-5.55206141188964
"fHat23",-5.09892018847063
"fHat24",-4.4539122090323
"fHat25",-3.71580021420078
"fHat26",-2.76748646015518
"fHat27",-1.81339100086826
"fHat28",-1.08821656484026
"sdBeta",0.0302593058444483
"sdF1",1.05406858579754
"sdF2",1.04191107933452
"sdF3",1.03904313448245
"sdF4",1.03753574486439
"sdF5",1.0369169389634
"sdF6",1.03671726174188
"sdF7",1.03666838276279
"sdF8",1.03665915471189
"sdF9",1.03665779368009
"sdF10",1.0366576345313
"sdF11",1.03665761949291
"sdF12",1.03665761831475
"sdF13",1.03665761823573
"sdF14",1.03665761823103
"sdF15",1.03665761823077
"sdF16",1.03665761823076
"sdF17",1.03665761823076
"sdF18",1.03665761823076
"sdF19",1.03665761823079
"sdF20",1.03665761823064
"sdF21",1.03665761824828
"sdF22",1.03665761819616
"sdF23",1.03665762608315
"sdF24",1.03665762718556
"sdF25",1.03666048241663
"sdF26",1.03667407234864
"sdF27",1.03738803549288
"sdF28",1.04152429255791
"biasBeta",-1.67438965795706e-14
"biasF1",0.0065770084025723
"biasF2",-0.00242732528405446
"biasF3",-0.0007169493752711
"biasF4",-0.000300398531696847
"biasF5",-0.000383973300553314
"biasF6",-0.000419273497471014
"biasF7",-0.000424615096897341
"biasF8",-0.000413178731426211
"biasF9",-0.000381922293881329
"biasF10",-0.000331429787394359
"biasF11",-0.000264301937872573
"biasF12",-0.000183926237622235
"biasF13",-9.43282392306469e-05
"biasF14",-8.13085015982651e-12
"biasF15",9.43282361198991e-05
"biasF16",0.00018392645275047
"biasF17",0.000264301822219454
"biasF18",0.000331424182310011
"biasF19",0.000381927545041599
"biasF20",0.000413274627325426
"biasF21",0.000423903106943173
"biasF22",0.000413395990369873
"biasF23",0.000381923232771204
"biasF24",0.000328402012535346
"biasF25",0.000267268690880035
"biasF26",0.000259274905419153
"biasF27",-5.38034485366434e-05
"biasF28",-0.00180840695332131
"capConv",1
