"","x"
"theta1",0.491155401034391
"theta2",0.707653123579637
"theta3",1.10531424135222
"theta4",0.62152343026631
"theta5",-2.6274052488704
"theta6",3.13427272119855
"theta7",-0.919123465857214
"betaHat",0.982002625254997
"fHat1",1.28334516812733
"fHat2",2.66495277184063
"fHat3",3.70220944043847
"fHat4",4.61094363278077
"fHat5",5.21477765424081
"fHat6",5.48291159877732
"fHat7",5.72078207445282
"fHat8",5.55619302288398
"fHat9",5.03891344713528
"fHat10",4.33561571505203
"fHat11",3.63919380647235
"fHat12",2.80565516551175
"fHat13",1.83108191329668
"fHat14",0.6417672241604
"fHat15",-0.42863296394318
"fHat16",-1.56965559222241
"fHat17",-2.41869502682551
"fHat18",-3.08604488227576
"fHat19",-3.82009727495732
"fHat20",-4.34887897333472
"fHat21",-4.54722610626547
"fHat22",-4.44733860023796
"fHat23",-4.05454806364197
"fHat24",-3.37446932704166
"fHat25",-2.58658474654404
"fHat26",-1.59904459675322
"fHat27",-0.631096639737788
"fHat28",0.818121354639857
"sdBeta",0.0204813222558092
"sdF1",0.689277479527939
"sdF2",0.679476042489375
"sdF3",0.669147164475936
"sdF4",0.664323125057768
"sdF5",0.663897858620238
"sdF6",0.663885980774172
"sdF7",0.663884670653735
"sdF8",0.66388463310974
"sdF9",0.663884629694626
"sdF10",0.66388462960063
"sdF11",0.663884629592737
"sdF12",0.663884629592523
"sdF13",0.663884629592507
"sdF14",0.663884629592508
"sdF15",0.663884629592508
"sdF16",0.663884629592509
"sdF17",0.663884629592507
"sdF18",0.663884629592505
"sdF19",0.663884629592598
"sdF20",0.663884629592574
"sdF21",0.663884629630961
"sdF22",0.663884629717648
"sdF23",0.663884644193652
"sdF24",0.663884723624813
"sdF25",0.663889437302828
"sdF26",0.663930895042818
"sdF27",0.665095378839349
"sdF28",0.672500937196848
"biasBeta",3.15676304540879e-15
"biasF1",0.00539011753249725
"biasF2",-0.00233847898997975
"biasF3",-0.00060825362588187
"biasF4",-0.000305397615264845
"biasF5",-0.000412526394967846
"biasF6",-0.00045817559282442
"biasF7",-0.000467356253044966
"biasF8",-0.000455234004718783
"biasF9",-0.000420803940445351
"biasF10",-0.000365173479553497
"biasF11",-0.000291212168165848
"biasF12",-0.00020265281076641
"biasF13",-0.000103932312338139
"biasF14",-9.12261585717111e-12
"biasF15",0.000103932319689363
"biasF16",0.00020265302720069
"biasF17",0.000291211880882512
"biasF18",0.000365168430472917
"biasF19",0.000420813386359974
"biasF20",0.00045535064835682
"biasF21",0.000467070515125421
"biasF22",0.000455514332789689
"biasF23",0.000420664389912041
"biasF24",0.000361466251018776
"biasF25",0.00029665461875095
"biasF26",0.000288919336692756
"biasF27",-7.02888126326608e-05
"biasF28",-0.00198646050914699
"capConv",2
