"","x"
"theta1",0.999999999999898
"theta2",0.999999999999996
"theta3",1.00000000000001
"theta4",0.199999999999986
"theta5",-0.439999999999856
"theta6",0.299999999999788
"theta7",-0.199999999999948
"betaHat",1.07019283722497
"fHat1",-1.27309811769592
"fHat2",-0.350438650130791
"fHat3",0.642123342998339
"fHat4",1.56024809070883
"fHat5",2.23283433429363
"fHat6",2.41317359692355
"fHat7",2.50968505269297
"fHat8",2.22411409599145
"fHat9",1.98658310968996
"fHat10",1.77661243016681
"fHat11",0.81340696485875
"fHat12",-0.478286304313663
"fHat13",-1.41363683014023
"fHat14",-2.30368308282593
"fHat15",-3.69834661444364
"fHat16",-4.652624301915
"fHat17",-5.39041538034464
"fHat18",-6.53621759457725
"fHat19",-7.10695849677943
"fHat20",-7.3294056045998
"fHat21",-7.26526350848233
"fHat22",-7.19812684005084
"fHat23",-6.91298256725839
"fHat24",-6.25252606714489
"fHat25",-5.63216697061601
"fHat26",-4.41438236229719
"fHat27",-3.45584699404628
"fHat28",-2.26930605524132
"sdBeta",0.0256248054880983
"sdF1",0.894959828205559
"sdF2",0.883436041729984
"sdF3",0.88019019776678
"sdF4",0.878238702778637
"sdF5",0.877431063664728
"sdF6",0.877205365394626
"sdF7",0.87716295385225
"sdF8",0.877157410001747
"sdF9",0.877156884321698
"sdF10",0.877156845832597
"sdF11",0.877156843475068
"sdF12",0.877156843345559
"sdF13",0.87715684333894
"sdF14",0.877156843338621
"sdF15",0.877156843338607
"sdF16",0.877156843338605
"sdF17",0.877156843338603
"sdF18",0.877156843338602
"sdF19",0.877156843338643
"sdF20",0.877156843338467
"sdF21",0.877156843358994
"sdF22",0.877156843296113
"sdF23",0.877156852545173
"sdF24",0.877156852644864
"sdF25",0.877160217138763
"sdF26",0.877175867755175
"sdF27",0.878018165459739
"sdF28",0.882878758185637
"biasBeta",1.50790838149284e-14
"biasF1",0.00592415926774884
"biasF2",-0.00244152769992868
"biasF3",-0.000692098709490975
"biasF4",-0.000307514556305025
"biasF5",-0.000384206024389766
"biasF6",-0.000416794485052101
"biasF7",-0.000422880899525725
"biasF8",-0.000411844465013148
"biasF9",-0.000380719653626578
"biasF10",-0.000330383281892575
"biasF11",-0.000263467480439247
"biasF12",-0.000183345703785816
"biasF13",-9.40305059231594e-05
"biasF14",-7.18677894973041e-12
"biasF15",9.40304958122751e-05
"biasF16",0.000183345901717848
"biasF17",0.000263467571607792
"biasF18",0.000330378062002423
"biasF19",0.000380722023549641
"biasF20",0.000411970206779147
"biasF21",0.000422564917471301
"biasF22",0.00041209027728497
"biasF23",0.000380721390352307
"biasF24",0.000327376932554073
"biasF25",0.000266365093679208
"biasF26",0.000258358308002672
"biasF27",-5.33157216773966e-05
"biasF28",-0.00180287274571578
"capConv",1
