"","x"
"theta1",0.680160828027252
"theta2",1.10246432200937
"theta3",0.99832177409468
"theta4",0.136416479276472
"theta5",0.840366909231064
"theta6",-0.663245219609308
"theta7",-0.00357120965913547
"betaHat",1.06485528147639
"fHat1",-0.60225976875148
"fHat2",0.382070536604392
"fHat3",1.53763416403881
"fHat4",2.3860038938477
"fHat5",2.96958160893174
"fHat6",3.15745764775948
"fHat7",3.34036628184901
"fHat8",3.27487282263977
"fHat9",2.80261940937321
"fHat10",2.2971908305633
"fHat11",1.55115826575464
"fHat12",0.518780541902526
"fHat13",-0.504363704297546
"fHat14",-1.65773058527275
"fHat15",-2.77568743991418
"fHat16",-3.7610427305892
"fHat17",-4.5268637414016
"fHat18",-5.23337945127068
"fHat19",-5.84134574310364
"fHat20",-6.28114662332
"fHat21",-6.37640799062356
"fHat22",-6.38765434041728
"fHat23",-6.169488671657
"fHat24",-5.52450820750526
"fHat25",-4.5658268790988
"fHat26",-3.74063964311687
"fHat27",-2.74288343631276
"fHat28",-1.59281493439541
"sdBeta",0.0329339938353497
"sdF1",0.989433916593236
"sdF2",0.973033037808294
"sdF3",0.969849222877769
"sdF4",0.968282520510645
"sdF5",0.967524090460472
"sdF6",0.967137004121914
"sdF7",0.966942347460369
"sdF8",0.966845469661689
"sdF9",0.966797694950062
"sdF10",0.966774327803343
"sdF11",0.966762986548623
"sdF12",0.966757523009126
"sdF13",0.966754910246543
"sdF14",0.966753669833187
"sdF15",0.966753085194546
"sdF16",0.966752811623357
"sdF17",0.966752684531194
"sdF18",0.966752625912665
"sdF19",0.966752599070372
"sdF20",0.966752586866961
"sdF21",0.966752581377334
"sdF22",0.966752578851397
"sdF23",0.966752586110071
"sdF24",0.966752585149519
"sdF25",0.966755632764605
"sdF26",0.966769636942568
"sdF27",0.967533277051381
"sdF28",0.971935444363791
"biasBeta",4.49282538256268e-14
"biasF1",0.00751667355582841
"biasF2",-0.00238314076876796
"biasF3",-0.000796332453547439
"biasF4",-0.000329353919811919
"biasF5",-0.000404515164575008
"biasF6",-0.000435028833669603
"biasF7",-0.000432823916270572
"biasF8",-0.000416184647848206
"biasF9",-0.000382337062105907
"biasF10",-0.000330782152819897
"biasF11",-0.000263392506411303
"biasF12",-0.00018316116637114
"biasF13",-9.3903822725297e-05
"biasF14",-1.24609776663842e-09
"biasF15",9.38783486378394e-05
"biasF16",0.000183043573928593
"biasF17",0.00026302902871201
"biasF18",0.000329825718160641
"biasF19",0.000380084221999602
"biasF20",0.000411279439726693
"biasF21",0.000421855970983778
"biasF22",0.000411398404566228
"biasF23",0.000380084482946658
"biasF24",0.000326833691643144
"biasF25",0.000265886409560136
"biasF26",0.000257872617139741
"biasF27",-5.30578299314383e-05
"biasF28",-0.00179993947468925
"capConv",2
